talent_rank1_spell_id|wow_class|talent_name|description_or_reason
32601|Rogue|Surprise Attacks|Your finishing moves can no longer be dodged, and the damage dealt by your Sinister Strike, Backstab, Shiv, Hemorrhage and Gouge abilities is increased by $s2%.
33158|Priest|Empowered Healing|Your Greater Heal spell gains an additional $s1% and your Flash Heal and Binding Heal gain an additional $s2% of your bonus healing effects.
33213|Priest|Focused Mind|Reduces the mana cost of your Mind Blast, Mind Control, Mind Flay and Mind Sear spells by $s1%.
33221|Priest|Shadow Power|Increases the critical strike damage bonus of your Mind Blast, Mind Flay, and Shadow Word: Death spells by $s2%.
34485|Hunter|Master Marksman|Increases your critical strike chance by $s1%, and reduces the Mana cost of your Steady Shot, Aimed Shot, and Chimera Shot by $s2%.
35363|Druid|Nature's Majesty|Increases the critical strike chance of your Wrath, Starfire, Starfall, Nourish and Healing Touch spells by $s1%.
46859|Warrior|Unrelenting Assault|Reduces the cooldown of your Overpower and Revenge abilities by $/1000;s1 secs and increases the damage done by both abilities by $s2%. In addition, if you strike a player with Overpower while they are casting, their magical damage and healing will be reduced by $64849s1% for $64849d.
47201|Warlock|Everlasting Affliction|Your Corruption and Unstable Affliction spells gain an additional $s2% of your bonus spell damage, and your Drain Life, Drain Soul, Shadow Bolt, and Haunt spells have a $h% chance to reset the duration of your Corruption spell on the target.
47562|Priest|Divine Providence|Increases the amount healed by Circle of Healing, Binding Heal, Holy Nova, Prayer of Healing, Divine Hymn and Prayer of Mending by $s1%, and reduces the cooldown of your Prayer of Mending by $s3%.
48409|Druid|Primal Precision|Increases your expertise by $s1, and you are refunded $s2% of the energy cost of a finishing move if it fails to land.
50334|Druid|Berserk|When activated, this ability causes your Mangle (Bear) ability to hit up to $58923s1 targets and have no cooldown, and reduces the energy cost of all your Cat Form abilities by $s1%. Lasts $d. You cannot use Tiger's Fury while Berserk is active. Clears the effect of Fear and makes you immune to Fear for the duration.
50685|Warrior|Incite|Increases the critical strike chance of your Heroic Strike, Thunder Clap and Cleave abilities by $s1%.
51632|Rogue|Blood Spatter|Increases the damage caused by your Garrote and Rupture abilities by $s1%.
53556|Paladin|Enlightened Judgements|Increases the range of your Judgement of Light and Judgement of Wisdom spells by $s1 yards and increases your chance to hit by $s2%.
53620|Hunter|Focused Aim|Reduces the pushback suffered from damaging attacks while casting Steady Shot by $s1%, and increases your chance to hit by $s2%.
53671|Paladin|Judgements of the Pure|Increases the damage done by your Seal and Judgement spells by $s2%, and your Judgement spells increase your casting and melee haste by $53655s1% for $53655d.
55061|DeathKnight|Icy Reach|Increases the range of your Icy Touch, Chains of Ice and Howling Blast by $s1 yards.
56927|Warrior|Unending Fury|Increases the damage done by your Slam, Whirlwind and Bloodthirst abilities by $s2%.
57865|Druid|Nature's Splendor|Increases the duration of your Moonfire and Rejuvenation spells by ${$m1/1000} sec, your Regrowth spell by ${$m2/1000} sec, and your Insect Swarm and Lifebloom spells by ${$m3/1000} sec.
58435|Warlock|Pandemic|Grants the periodic damage from your Corruption and Unstable Affliction spells the ability to critically hit for $s1% increased damage, and increases the critical strike damage bonus of your Haunt spell by $s2%.
63108|Warlock|Siphon Life|When you deal damage with your Corruption spell, you are instantly healed for $<percent>% of the damage done. In addition, the damage done by your Corruption, Seed of Corruption and Unstable Affliction damage over time effects is increased by $s2%.
